Topic 1,Topic 2,Topic 3,Topic 4,Topic 5
0.0581154090963871,0.05809823452492128,0.7635938810937819,0.05815582198872947,0.06203665329618021
0.08291056396015334,0.08290080612551484,0.08365463752509457,0.08290232545895829,0.667631666930279
0.07450037195074728,0.07573337693947046,0.7019677677425872,0.07413321797224896,0.07366526539494603
0.05003787510186594,0.049794093467119126,0.049921007911707595,0.04954487225243514,0.8007021512668722
0.050609231820659926,0.7973674709698894,0.05053189319462881,0.05058886122400097,0.05090254279082096
0.04457555549067135,0.6585888241374055,0.04450742820248455,0.04470999806911562,0.207618194100323
0.1013288022292029,0.10195918360798546,0.10020124739665685,0.5942229471916487,0.10228781957450607
0.04934514347893928,0.05221573239777616,0.7997235791004981,0.04937389226125721,0.04934165276152916
0.04937207642079793,0.049973044204238384,0.04941896720519856,0.04931862114892269,0.8019172910208424
0.05731823150326803,0.7711672278103228,0.05718067181835888,0.05716028345370129,0.05717358541434913
0.07418815531521368,0.7014588312110076,0.07561842264679429,0.07445452368312107,0.07428006714386344
0.04885904893204915,0.04694093716243819,0.05123699179814872,0.046924872475041436,0.8060381496323226
0.8174726620213258,0.04480452647652796,0.04400337408113275,0.04822075645790528,0.04549868096310817
0.06043467562144552,0.06041757666564586,0.06042414535926192,0.060420205703770824,0.7583033966498758
0.04783647874732923,0.048236055840545675,0.04776912429282089,0.047552374748043205,0.808605966371261
0.08289430647055542,0.6682485386178109,0.0830805447253553,0.08288680539928182,0.08288980478699658
0.047146360253474136,0.04686235750709572,0.04698473936329857,0.8121657789495572,0.04684076392657435
0.04736726803095422,0.7149446578701304,0.047106806944818634,0.047044222797996235,0.1435370443561005
0.04738982833707741,0.04774566885477351,0.38850253762436243,0.047142128381563626,0.469219836802223
0.056498250762086255,0.05619557190183538,0.05608275809657681,0.05660475136625557,0.774618667873246
0.0470216696813067,0.04896624788549557,0.8077827495034677,0.049172591247092355,0.04705674168263761
0.048603225750565596,0.04935792063700169,0.048605405016712996,0.0485850157264141,0.8048484328693056
0.058292844614602074,0.05815345358524575,0.05957258844425038,0.05855069641816852,0.7654304169377333
0.05523187203245496,0.4990525587786903,0.33615677617450296,0.05475637195181708,0.054802421062534655
0.043736785964707085,0.2882242230967073,0.5786704110315711,0.04563622351757555,0.04373235638943892
0.6635665616818571,0.08381560781300636,0.08462179510830933,0.08409489387615357,0.08390114152067353
0.08290222375727936,0.08366809226970513,0.6653260864644127,0.08289190838873771,0.08521168911986525
0.04613652027855369,0.5959185454675101,0.04598983472208843,0.2647807724447081,0.04717432708713976
0.04451690275229237,0.043830488990724906,0.04410648140607059,0.8236594427074281,0.04388668414348401
0.04909672138993348,0.11560384124538015,0.7408545714816972,0.047300198500101184,0.04714466738288805
0.05270171332772374,0.05287165328262329,0.052656850312108,0.052862713962206806,0.7889070691153383
0.04438637143097114,0.8216597601059751,0.0450376795206834,0.04456617091988141,0.044350018022488724
0.5600577268767267,0.29338589634935475,0.048935675409379494,0.04873139981992711,0.048889301544611914
0.047715863841195326,0.04794188847087233,0.04795677252579747,0.8086365658897033,0.04774890927243154
0.07424498099198998,0.07435014716767849,0.07454444791852101,0.7024428897330391,0.07441753418877131
0.04507895935690317,0.0451428966228724,0.04628766904633883,0.045762690874169815,0.8177277840997157
0.2853841813805513,0.5365388632853294,0.05938478156727431,0.05931770890006086,0.059374464866783855
0.059904120673567644,0.05936470337945745,0.05950399923365115,0.06128536192047389,0.7599418147928498
0.047289462752861285,0.04707641751177118,0.8124478743459915,0.04631028605810408,0.046875959331271776
0.05649090276766209,0.7762222658222727,0.0558499495613521,0.05561051219629599,0.05582636965241717
0.04574668141677867,0.04653167361349662,0.04996555908601131,0.8101498260378559,0.047606259845857674
0.05540177579988713,0.34400605179204224,0.05513659472102511,0.05508386581619474,0.49037171187085077
0.8213591074521729,0.04576722973074094,0.0440386562008219,0.044463099961171836,0.04437190665509256
0.048273216762480954,0.0494577836384216,0.04817285596777129,0.8059335034020343,0.04816264022929183
0.04145075111494692,0.041755207639597745,0.04154152545442583,0.830919747057915,0.04433276873311441
0.7934866895141445,0.05308555033555236,0.051391659830601455,0.050999086179852375,0.0510370141398493
0.04515645762530379,0.04602925616795904,0.04557053918534961,0.8181451925282845,0.04509855449310312
0.04688606755791795,0.04658138905084844,0.047619792262033875,0.8115980936110452,0.04731465751815459
0.0455583671429128,0.04545862907682215,0.04568763991599797,0.8178421285749536,0.04545323528931339
0.06164732756158204,0.06132574091771651,0.061356794841962006,0.06195602966878818,0.7537141070099512
0.07370932409415104,0.07389667282658445,0.07333903075130538,0.07457159065020862,0.7044833816777506
0.05264831048486753,0.052872315447913806,0.0526599124404774,0.7891958476256541,0.05262361400108709
0.05429407532494821,0.05446795005220856,0.7822630454489916,0.05435390745936202,0.05462102171448952
0.044720774741999356,0.044714666876924915,0.04467850919043134,0.8211979791349652,0.044688070055679305
0.04744554044455092,0.8102930720859465,0.0472806655032413,0.047796613388754614,0.047184108577506774
0.04667518283416813,0.046855583719128596,0.04696853588810571,0.18314364079746914,0.6763570567611283
0.050629726574744544,0.8015069610891004,0.049457625283951166,0.04919297713622327,0.04921270991598077
0.04442370638182816,0.11530217689645537,0.7514407215028593,0.04427429767155046,0.04455909754730659
0.047423771356250075,0.7385500310834754,0.047721047090712565,0.048827279963727384,0.11747787050583464
0.05822369945045184,0.7664066438770637,0.05823271426102486,0.058220257215369955,0.058916685196089724
0.04642183466624745,0.04687954036901686,0.4494643378289766,0.04611510312832349,0.4111191840074355
0.8128562374755508,0.04603126861028821,0.04669240618735515,0.047779137093523195,0.0466409506332827
0.6570057173018333,0.044965606163585116,0.04400997463371974,0.20959608677912517,0.044422615121736786
0.042816093645499397,0.042664772780251506,0.04258506897832845,0.8293145503668413,0.04261951422907936
0.04622059898895985,0.04658592185970976,0.8138822373284998,0.04688415151720125,0.04642709030562923
0.059540305364766954,0.06159014519303373,0.061032079902113394,0.060223942717764406,0.7576135268223215
0.06234559112750103,0.06259574183956466,0.06234157325595396,0.7503438434047002,0.06237325037228022
0.3317555573689393,0.044158097499478716,0.0440880192107985,0.5359434599191927,0.04405486600159079
0.044421110116201694,0.04353138406750277,0.04335138161244697,0.8257444877663302,0.042951636437518335
0.05159371228492993,0.05329150524038866,0.05151739097493877,0.7920350042765547,0.05156238722318788
0.055407780205235665,0.055401982994155885,0.055538265650173065,0.7783650281115463,0.05528694303888898
0.04540938092279463,0.04554146488043013,0.04542690892537279,0.8181694544872443,0.045452790784158155
